[SETUP] Generating 10000 rows of OHLCV data for performance testing...
[SETUP] Data generation complete. Memory: 1.75 MB
----------------------------------------------------------------------------
STATUS   | INDICATOR                 |  TIME (ms) | TYPE            | SOURCE
✅ OK    | cmo                       |       1.18 | Polars Expr     | util
✅ OK    | coppock-curve             |       1.60 | Polars Expr     | util
✅ OK    | donchian-width            |       1.20 | Polars Expr     | util
✅ OK    | donchian                  |       1.30 | Polars Expr     | util
✅ OK    | elderray                  |       0.81 | Polars Expr     | util
✅ OK    | ema                       |       0.20 | Polars Expr     | util
✅ OK    | eom                       |       0.85 | Polars Expr     | util
✅ OK    | fibonacci                 |       3.86 | Polars Expr     | util
✅ OK    | fractaldimension          |       5.96 | Polars DF       | util
✅ OK    | hma                       |       7.52 | Polars Expr     | util
✅ OK    | hurst                     |       7.48 | Polars DF       | util
✅ OK    | ichimoku                  |       1.90 | Polars Expr     | util
✅ OK    | is-open                   |       0.17 | Polars DF       | util
✅ OK    | kalman                    |       0.23 | Polars Expr     | util
✅ OK    | kaufman-er                |       0.74 | Polars Expr     | util
✅ OK    | kdj                       |       7.65 | Polars Expr     | util
✅ OK    | keltner                   |       1.84 | Polars Expr     | util
✅ OK    | linregchannel             |       4.03 | Polars DF       | util
✅ OK    | macd                      |       4.95 | Polars Expr     | util
⚠️ SLOW  | marketprofile             |      14.71 | Polars Expr     | util
✅ OK    | mcginley                  |       0.32 | Polars Expr     | util
✅ OK    | mfi                       |       3.69 | Polars Expr     | util
✅ OK    | midpoint                  |       0.67 | Polars Expr     | util
✅ OK    | obv                       |       0.69 | Polars Expr     | util
✅ OK    | pivot                     |       3.52 | Polars Expr     | util
✅ OK    | psar                      |       0.75 | Polars Expr     | util
✅ OK    | psychlevels               |       0.18 | Polars Expr     | util
✅ OK    | roc                       |       1.07 | Polars Expr     | util
✅ OK    | rsi                       |       0.48 | Polars Expr     | util
✅ OK    | shannonentropy            |       3.03 | Polars Expr     | util
✅ OK    | sharpe                    |       1.02 | Polars Expr     | util
✅ OK    | sma                       |       0.20 | Polars Expr     | util
✅ OK    | stc                       |       5.79 | Pandas DF       | util
✅ OK    | stddev                    |       0.51 | Polars Expr     | util
✅ OK    | stochastic                |       1.77 | Polars Expr     | util
✅ OK    | supertrend                |       0.81 | Polars Expr     | util
✅ OK    | swing-points              |       1.16 | Polars DF       | util
✅ OK    | uo                        |       2.38 | Polars Expr     | util
✅ OK    | volatility-ratio          |       1.74 | Polars Expr     | util
⚠️ SLOW  | volumeprofile             |      29.94 | Polars Expr     | util
✅ OK    | vqi                       |       0.80 | Polars Expr     | util
✅ OK    | vwap                      |       9.90 | Polars Expr     | util
✅ OK    | vwma                      |       0.70 | Polars Expr     | util
✅ OK    | williamsr                 |       2.04 | Polars Expr     | util
✅ OK    | zigzag                    |       0.49 | Polars Expr     | util
✅ OK    | zscore                    |       2.56 | Polars Expr     | util
