GBPUSD
🔍 [Forensic Stepper]: loading targets 'example-pivot-finder_10_bottoms'...
🎯 [Forensic Stepper]: Extracted 8 confirmed target zones.
🔍 [Forensic Stepper]: Interrogating checkpoint 'model-best-gen13-f1-0.6316.pt'...
🚀 [Forensic Stepper]: Initiating Walk-Forward for -1 steps.
📦 Payload Indicators: ['volatility-ratio_20_2.0_1.0', 'example-multi-tf-rsi_EUR-USD_14_14_14_14', 'example-multi-tf-rsi_DOLLAR.IDX-USD_14_14_14_14', 'is-open', 'williamsr_14', 'kaufman-er_10', 'aroon_14', 'stochastic_5_3_3']
------------------------------------------------------------
Step  147/246 | Bars:  147 | Time: 1770278400000 | Score: 0.0046605547 | Target: 0 | ****
Step  148/246 | Bars:  148 | Time: 1770292800000 | Score: 0.0988524556 | Target: 0 | *****
Step  149/246 | Bars:  149 | Time: 1770307200000 | Score: 0.1638369262 | Target: 0 | ******
Step  150/246 | Bars:  150 | Time: 1770321600000 | Score: 0.0914912969 | Target: 0 | ******
Step  151/246 | Bars:  151 | Time: 1770336000000 | Score: 0.6963666081 | Target: 1 | ****** HIT
Step  152/246 | Bars:  152 | Time: 1770350400000 | Score: 0.2482664585 | Target: 0 | ******
Step  153/246 | Bars:  153 | Time: 1770364800000 | Score: 0.0959491059 | Target: 0 | ******
Step  154/246 | Bars:  154 | Time: 1770379200000 | Score: 0.0007116124 | Target: 0 | ....
Step  155/246 | Bars:  155 | Time: 1770393600000 | Score: 0.0000206744 | Target: 0 | ...
Step  156/246 | Bars:  156 | Time: 1770408000000 | Score: 0.0000055985 | Target: 0 | ..
Step  157/246 | Bars:  157 | Time: 1770595200000 | Score: 0.0000008662 | Target: 0 | .
Step  158/246 | Bars:  158 | Time: 1770609600000 | Score: 0.0000001948 | Target: 0 |
Step  159/246 | Bars:  159 | Time: 1770624000000 | Score: 0.0000000088 | Target: 0 |
Step  160/246 | Bars:  160 | Time: 1770638400000 | Score: 0.0000001362 | Target: 0 |
Step  161/246 | Bars:  161 | Time: 1770652800000 | Score: 0.0000000167 | Target: 0 |
Step  162/246 | Bars:  162 | Time: 1770667200000 | Score: 0.0000000004 | Target: 0 |
Step  163/246 | Bars:  163 | Time: 1770681600000 | Score: 0.0000000005 | Target: 0 |
Step  164/246 | Bars:  164 | Time: 1770696000000 | Score: 0.0000000002 | Target: 0 |
Step  165/246 | Bars:  165 | Time: 1770710400000 | Score: 0.0000000010 | Target: 0 |
Step  166/246 | Bars:  166 | Time: 1770724800000 | Score: 0.0000000001 | Target: 0 |
Step  167/246 | Bars:  167 | Time: 1770739200000 | Score: 0.0000000741 | Target: 0 |
Step  168/246 | Bars:  168 | Time: 1770753600000 | Score: 0.0000001041 | Target: 0 |
Step  169/246 | Bars:  169 | Time: 1770768000000 | Score: 0.0000099491 | Target: 0 | *
Step  170/246 | Bars:  170 | Time: 1770782400000 | Score: 0.0000015024 | Target: 0 | *
Step  171/246 | Bars:  171 | Time: 1770796800000 | Score: 0.0000000062 | Target: 0 | *
Step  172/246 | Bars:  172 | Time: 1770811200000 | Score: 0.0000000050 | Target: 0 |
Step  173/246 | Bars:  173 | Time: 1770825600000 | Score: 0.0000000017 | Target: 0 |
Step  174/246 | Bars:  174 | Time: 1770840000000 | Score: 0.0000000011 | Target: 0 |
Step  175/246 | Bars:  175 | Time: 1770854400000 | Score: 0.0010329152 | Target: 0 | **
Step  176/246 | Bars:  176 | Time: 1770868800000 | Score: 0.0000104038 | Target: 0 | ***
Step  177/246 | Bars:  177 | Time: 1770883200000 | Score: 0.0781607553 | Target: 0 | ****
Step  178/246 | Bars:  178 | Time: 1770897600000 | Score: 0.0466646515 | Target: 0 | *****
Step  179/246 | Bars:  179 | Time: 1770912000000 | Score: 0.0005372272 | Target: 0 | ....
Step  180/246 | Bars:  180 | Time: 1770926400000 | Score: 0.0000666653 | Target: 0 | ...
Step  181/246 | Bars:  181 | Time: 1770940800000 | Score: 0.0008128057 | Target: 0 | ***
Step  182/246 | Bars:  182 | Time: 1770955200000 | Score: 0.0018544174 | Target: 0 | ****
Step  183/246 | Bars:  183 | Time: 1770969600000 | Score: 0.0094786184 | Target: 1 | ****   HIT
Step  184/246 | Bars:  184 | Time: 1770984000000 | Score: 0.0471622311 | Target: 0 | *****
Step  185/246 | Bars:  185 | Time: 1770998400000 | Score: 0.0012648411 | Target: 0 | *****
Step  186/246 | Bars:  186 | Time: 1771012800000 | Score: 0.0000004252 | Target: 0 | ..
