🔍 [Forensic Stepper]: loading targets 'example-pivot-finder_10_bottoms'...
🎯 [Forensic Stepper]: Extracted 9 confirmed target zones.
🔍 [Forensic Stepper]: Interrogating checkpoint 'model-best-gen12-f1-0.7692.pt'...
🚀 [Forensic Stepper]: Initiating Walk-Forward for -1 steps.
📦 Payload Indicators: ['williamsr_14', 'example-multi-tf-rsi_EUR-USD_14_14_14_14', 'cci_20', 'is-open', 'ppo_12_26_9', 'example-multi-tf-rsi_DOLLAR.IDX-USD_14_14_14_14', 'example-multi-tf-rsi_GBP-USD_14_14_14_14']
------------------------------------------------------------
Step  205/301 | Bars:  205 | Score: 0.0303419102 | Target: 0
Step  206/301 | Bars:  206 | Score: 0.0050146123 | Target: 0
Step  207/301 | Bars:  207 | Score: 0.0025556011 | Target: 0
Step  208/301 | Bars:  208 | Score: 0.0155415768 | Target: 0
Step  209/301 | Bars:  209 | Score: 0.0139682088 | Target: 0
Step  210/301 | Bars:  210 | Score: 0.0286450405 | Target: 0
Step  211/301 | Bars:  211 | Score: 0.0400031395 | Target: 0
Step  212/301 | Bars:  212 | Score: 0.0414977707 | Target: 0
Step  213/301 | Bars:  213 | Score: 0.0483092405 | Target: 0
Step  214/301 | Bars:  214 | Score: 0.0056002773 | Target: 0
Step  215/301 | Bars:  215 | Score: 0.0401770882 | Target: 0
Step  216/301 | Bars:  216 | Score: 0.0532933250 | Target: 0
Step  217/301 | Bars:  217 | Score: 0.0510623567 | Target: 0
Step  218/301 | Bars:  218 | Score: 0.0491590239 | Target: 0
Step  219/301 | Bars:  219 | Score: 0.0394946560 | Target: 1
Step  220/301 | Bars:  220 | Score: 0.0600068755 | Target: 0
Step  221/301 | Bars:  221 | Score: 0.1346434802 | Target: 0
Step  222/301 | Bars:  222 | Score: 0.1147841066 | Target: 0
Step  223/301 | Bars:  223 | Score: 0.1481251121 | Target: 0
Step  224/301 | Bars:  224 | Score: 0.1372617781 | Target: 0
Step  225/301 | Bars:  225 | Score: 0.1435116678 | Target: 0
Step  226/301 | Bars:  226 | Score: 0.2048236877 | Target: 0
Step  227/301 | Bars:  227 | Score: 0.1278494149 | Target: 0
Step  228/301 | Bars:  228 | Score: 0.1821155697 | Target: 0
Step  229/301 | Bars:  229 | Score: 0.1304397136 | Target: 0
Step  230/301 | Bars:  230 | Score: 0.3582154810 | Target: 0 ENTER_POSITION
Step  231/301 | Bars:  231 | Score: 0.4375166297 | Target: 1 ENTER_POSITION
Step  232/301 | Bars:  232 | Score: 0.2785496712 | Target: 0 ENTER_POSITION
Step  233/301 | Bars:  233 | Score: 0.0507887267 | Target: 0
